# Time (ns)	Electric Potential (V)
1.30296	0.000215079
1.30442	0.000217379
1.30589	0.000219699
1.30736	0.000222038
1.30883	0.000224396
1.31029	0.000226774
1.31176	0.000229172
1.31323	0.00023159
1.31469	0.000234027
1.31616	0.000236485
1.31763	0.000238963
1.3191	0.00024146
1.32056	0.000243978
1.32203	0.000246516
1.3235	0.000249075
1.32497	0.000251654
1.32643	0.000254254
1.3279	0.000256874
1.32937	0.000259515
1.33083	0.000262177
1.3323	0.000264859
1.33377	0.000267563
1.33524	0.000270287
1.3367	0.000273033
1.33817	0.000275799
1.33964	0.000278587
1.34111	0.000281396
1.34257	0.000284227
1.34404	0.000287079
1.34551	0.000289952
1.34697	0.000292847
1.34844	0.000295763
1.34991	0.000298701
1.35138	0.000301661
1.35284	0.000304643
1.35431	0.000307646
1.35578	0.000310671
1.35725	0.000313718
1.35871	0.000316788
1.36018	0.000319879
1.36165	0.000322992
1.36312	0.000326127
1.36458	0.000329285
1.36605	0.000332464
1.36752	0.000335666
1.36898	0.00033889
1.37045	0.000342137
1.37192	0.000345406
1.37339	0.000348697
1.37485	0.000352011
1.37632	0.000355347
1.37779	0.000358705
1.37926	0.000362086
1.38072	0.00036549
1.38219	0.000368916
1.38366	0.000372365
1.38512	0.000375836
1.38659	0.00037933
1.38806	0.000382846
1.38953	0.000386386
1.39099	0.000389947
1.39246	0.000393532
1.39393	0.000397139
1.3954	0.000400768
1.39686	0.000404421
1.39833	0.000408096
1.3998	0.000411793
1.40126	0.000415514
1.40273	0.000419257
1.4042	0.000423022
1.40567	0.00042681
1.40713	0.000430621
1.4086	0.000434454
1.41007	0.00043831
1.41154	0.000442188
1.413	0.000446089
1.41447	0.000450012
1.41594	0.000453958
1.4174	0.000457926
1.41887	0.000461916
1.42034	0.000465929
1.42181	0.000469964
1.42327	0.000474021
1.42474	0.000478101
1.42621	0.000482202
1.42768	0.000486326
1.42914	0.000490471
1.43061	0.000494638
1.43208	0.000498828
1.43355	0.000503039
1.43501	0.000507271
1.43648	0.000511526
1.43795	0.000515802
1.43941	0.000520099
1.44088	0.000524418
1.44235	0.000528758
1.44382	0.000533119
1.44528	0.000537502
1.44675	0.000541905
1.44822	0.00054633
1.44969	0.000550775
1.45115	0.000555241
1.45262	0.000559727
1.45409	0.000564234
1.45555	0.000568761
1.45702	0.000573308
1.45849	0.000577876
1.45996	0.000582463
1.46142	0.00058707
1.46289	0.000591697
1.46436	0.000596343
1.46583	0.000601009
1.46729	0.000605694
1.46876	0.000610398
1.47023	0.000615121
1.47169	0.000619862
1.47316	0.000624622
1.47463	0.000629401
1.4761	0.000634198
1.47756	0.000639012
1.47903	0.000643845
1.4805	0.000648695
1.48197	0.000653563
1.48343	0.000658448
1.4849	0.00066335
1.48637	0.000668268
1.48783	0.000673204
1.4893	0.000678155
1.49077	0.000683123
1.49224	0.000688107
1.4937	0.000693107
1.49517	0.000698122
1.49664	0.000703152
1.49811	0.000708197
1.49957	0.000713257
1.50104	0.000718331
1.50251	0.00072342
1.50398	0.000728523
1.50544	0.000733639
1.50691	0.000738769
1.50838	0.000743911
1.50984	0.000749067
1.51131	0.000754235
1.51278	0.000759416
1.51425	0.000764608
1.51571	0.000769812
1.51718	0.000775027
1.51865	0.000780254
1.52012	0.000785491
1.52158	0.000790738
1.52305	0.000795996
1.52452	0.000801263
1.52598	0.000806539
1.52745	0.000811825
1.52892	0.000817119
1.53039	0.000822422
1.53185	0.000827732
1.53332	0.00083305
1.53479	0.000838375
1.53626	0.000843707
1.53772	0.000849046
1.53919	0.00085439
1.54066	0.00085974
1.54212	0.000865095
1.54359	0.000870456
1.54506	0.00087582
1.54653	0.000881189
1.54799	0.000886561
1.54946	0.000891936
1.55093	0.000897314
1.5524	0.000902694
1.55386	0.000908076
1.55533	0.000913459
1.5568	0.000918844
1.55827	0.000924228
1.55973	0.000929613
1.5612	0.000934997
1.56267	0.00094038
1.56413	0.000945762
1.5656	0.000951142
1.56707	0.000956519
1.56854	0.000961893
1.57	0.000967264
1.57147	0.00097263
1.57294	0.000977993
1.57441	0.00098335
1.57587	0.000988701
1.57734	0.000994047
1.57881	0.000999385
1.58027	0.00100472
1.58174	0.00101004
1.58321	0.00101536
1.58468	0.00102066
1.58614	0.00102596
1.58761	0.00103125
1.58908	0.00103652
1.59055	0.00104179
1.59201	0.00104704
1.59348	0.00105228
1.59495	0.00105751
1.59641	0.00106272
1.59788	0.00106792
1.59935	0.00107311
1.60082	0.00107827
1.60228	0.00108343
1.60375	0.00108856
1.60522	0.00109368
1.60669	0.00109878
1.60815	0.00110386
1.60962	0.00110893
1.61109	0.00111397
1.61255	0.00111899
1.61402	0.00112399
1.61549	0.00112896
1.61696	0.00113392
1.61842	0.00113885
1.61989	0.00114375
1.62136	0.00114864
1.62283	0.00115349
1.62429	0.00115832
1.62576	0.00116312
1.62723	0.00116789
1.6287	0.00117264
1.63016	0.00117735
1.63163	0.00118204
1.6331	0.00118669
1.63456	0.00119132
1.63603	0.00119591
1.6375	0.00120046
1.63897	0.00120498
1.64043	0.00120947
1.6419	0.00121392
1.64337	0.00121834
1.64484	0.00122272
1.6463	0.00122706
1.64777	0.00123136
1.64924	0.00123562
1.6507	0.00123984
1.65217	0.00124402
1.65364	0.00124816
1.65511	0.00125226
1.65657	0.00125631
1.65804	0.00126031
1.65951	0.00126427
1.66098	0.00126819
1.66244	0.00127206
1.66391	0.00127588
1.66538	0.00127965
1.66684	0.00128337
1.66831	0.00128704
1.66978	0.00129065
1.67125	0.00129422
1.67271	0.00129773
1.67418	0.00130119
1.67565	0.00130459
1.67712	0.00130794
1.67858	0.00131123
1.68005	0.00131446
1.68152	0.00131763
1.68298	0.00132075
1.68445	0.0013238
1.68592	0.00132679
1.68739	0.00132972
1.68885	0.00133259
1.69032	0.00133539
1.69179	0.00133813
1.69326	0.0013408
1.69472	0.0013434
1.69619	0.00134593
1.69766	0.0013484
1.69913	0.0013508
1.70059	0.00135312
1.70206	0.00135537
1.70353	0.00135755
1.70499	0.00135966
1.70646	0.00136169
1.70793	0.00136365
1.7094	0.00136553
1.71086	0.00136733
1.71233	0.00136905
1.7138	0.0013707
1.71527	0.00137226
1.71673	0.00137374
1.7182	0.00137514
1.71967	0.00137646
1.72113	0.00137769
1.7226	0.00137883
1.72407	0.00137989
1.72554	0.00138086
1.727	0.00138175
1.72847	0.00138254
1.72994	0.00138325
1.73141	0.00138386
1.73287	0.00138438
1.73434	0.00138481
1.73581	0.00138514
1.73727	0.00138538
1.73874	0.00138552
1.74021	0.00138556
1.74168	0.00138551
1.74314	0.00138535
1.74461	0.0013851
1.74608	0.00138475
1.74755	0.00138429
1.74901	0.00138373
1.75048	0.00138306
1.75195	0.0013823
1.75341	0.00138142
1.75488	0.00138044
1.75635	0.00137935
1.75782	0.00137815
1.75928	0.00137684
1.76075	0.00137542
1.76222	0.00137389
1.76369	0.00137224
1.76515	0.00137049
1.76662	0.00136861
1.76809	0.00136662
1.76956	0.00136452
1.77102	0.0013623
1.77249	0.00135996
1.77396	0.00135749
1.77542	0.00135491
1.77689	0.00135221
1.77836	0.00134939
1.77983	0.00134644
1.78129	0.00134337
1.78276	0.00134017
1.78423	0.00133685
1.7857	0.0013334
1.78716	0.00132982
1.78863	0.00132612
1.7901	0.00132228
1.79156	0.00131831
