,SNR Input,mean SNR out,std SNR out,fit slope,Num Sums
68,0.13892254,2.111251772,0.519226164,3.912004229,41
69,0.146780745,2.07425463,0.473283505,3.912004229,41
70,0.148536271,2.067874848,0.525543895,3.912004229,41
71,0.155816672,2.118933092,0.527745443,3.912004229,41
72,0.161481247,2.072031793,0.486815527,3.912004229,41
73,0.167484046,2.150997135,0.511062459,3.912004229,41
74,0.171348097,2.122155379,0.522917015,3.912004229,41
75,0.180725654,2.186607992,0.529852454,3.912004229,41
76,0.187850519,2.157470598,0.520431362,3.912004229,41
77,0.195962009,2.206937843,0.532721593,3.912004229,41
78,0.204333781,2.111610033,0.529896205,3.912004229,41
79,0.21400061,2.216148354,0.513931126,3.912004229,41
80,0.226048127,2.203676701,0.529252074,3.912004229,41
81,0.237285304,2.221310812,0.561509389,3.912004229,41
82,0.24985269,2.223231342,0.546718181,3.912004229,41
83,0.26479751,2.230536186,0.538501556,3.912004229,41
84,0.282018743,2.310299421,0.560615196,3.912004229,41
85,0.301388851,2.336039874,0.543619856,3.912004229,41
86,0.322552614,2.303736555,0.570809852,3.912004229,41
87,0.347873625,2.343839464,0.553102217,3.912004229,41
88,0.375623206,2.442244904,0.553381348,3.912004229,41
89,0.40977927,2.526236947,0.619423611,3.912004229,41
90,0.455103969,2.662092536,0.616900548,3.912004229,41
91,0.504514068,2.774057914,0.677335749,3.912004229,41
92,0.55860041,2.951297348,0.69709737,3.912004229,41
93,0.643416235,3.241928886,0.739189052,3.912004229,41
94,0.758276437,3.560739353,0.744665438,3.912004229,41
95,0.897893854,4.142030617,0.816500617,3.912004229,41
96,1.133982568,4.950409767,0.831019765,3.912004229,41
97,1.517131725,6.322346984,0.804630316,3.912004229,41
98,2.256407244,9.295371233,0.893461076,3.912004229,41
99,4.516847394,18.21425717,1.149703903,3.912004229,41
